st_tekme,starost,nasprotnik,zadetki,asistence,tocke,plus_minus,kazni,streli
1498,42-290,PIT,0,0,0,0,2,3
1499,42-294,WSH,0,0,0,-1,0,3
1500,42-296,CAR,1,1,2,1,0,5
1501,42-297,CHI,0,0,0,0,2,1
1502,42-299,PHI,0,0,0,-2,0,3
1503,42-301,DAL,0,1,1,-3,0,3
1504,42-303,NYI,0,2,2,0,2,6
1505,42-305,OTT,0,0,0,-1,2,4
1506,42-307,TBL,0,0,0,-1,0,1
1507,42-308,WSH,0,0,0,-1,0,2
1508,42-311,CAR,0,0,0,-1,0,2
1509,42-315,NYR,0,0,0,-1,0,2
1510,42-317,PIT,1,0,1,1,0,3
1511,42-319,DET,0,0,0,-1,4,0
1512,42-321,MTL,0,1,1,-1,2,3
1513,42-322,PHI,3,0,3,4,0,5
1514,42-325,BUF,0,0,0,0,2,3
1515,42-327,BOS,0,0,0,0,2,4
1516,42-328,NYI,0,0,0,0,2,1
1517,42-347,TOR,0,0,0,-1,2,0
1518,42-349,PIT,0,0,0,-1,0,2
1519,42-350,FLA,1,0,1,0,2,2
1520,42-353,OTT,0,1,1,0,0,1
1521,42-356,TOR,1,0,1,1,0,2
1522,42-357,MTL,0,1,1,1,0,0
1523,42-359,EDM,0,0,0,0,0,2
1524,42-363,CHI,0,0,0,0,2,0
1525,42-364,NSH,0,0,0,0,0,1
1526,43-002,BUF,0,0,0,0,0,3
1527,43-005,VAN,0,0,0,0,0,1
1528,43-006,CAR,0,0,0,0,0,1
1529,43-008,ARI,0,0,0,1,0,0
1530,43-010,CGY,0,0,0,-1,0,5
1531,43-013,BUF,0,0,0,-1,0,3
1532,43-014,TBL,1,1,2,2,0,3
1533,43-016,TOR,0,0,0,-1,0,4
1534,43-020,NYI,0,1,1,1,0,1
1535,43-025,WPG,0,2,2,1,0,0
1536,43-027,CAR,0,0,0,0,0,1
1537,43-028,NYR,0,0,0,0,0,5
1538,43-030,MTL,0,0,0,0,4,1
1539,43-032,DET,1,1,2,2,0,2
1540,43-034,BOS,0,0,0,0,0,1
1541,43-037,TBL,0,1,1,0,0,4
1542,43-039,TOR,0,1,1,2,0,1
1543,43-041,MTL,0,1,1,1,2,4
1544,43-042,OTT,2,0,2,1,0,4
1545,43-044,BOS,0,0,0,-1,0,0
1546,43-046,CAR,1,1,2,2,0,3
1547,43-048,TBL,0,0,0,-2,0,5
1548,43-049,MTL,0,0,0,-1,0,5
1549,43-053,BOS,0,2,2,1,0,0
1550,43-055,NJD,1,1,2,0,0,3
1551,43-237,PHI,2,0,2,2,0,3
1552,43-239,PHI,0,0,0,0,0,2
1553,43-240,CAR,0,1,1,0,0,2
1554,43-242,BUF,2,1,3,1,0,3
1555,43-244,DAL,0,1,1,-1,0,2
1556,43-247,PIT,0,0,0,0,0,3
1557,43-249,CHI,1,0,1,0,4,3
1558,43-251,DAL,1,1,2,1,0,5
1559,43-254,COL,0,0,0,0,0,0
1560,43-262,ANA,0,0,0,1,0,1
1561,43-263,SJS,0,0,0,-4,0,1
1562,43-265,LAK,0,0,0,0,0,0
1563,43-268,CGY,1,1,2,0,0,2
1564,43-270,BUF,0,1,1,0,0,2
1565,43-272,TBL,0,0,0,-1,0,0
1566,43-274,TBL,0,1,1,1,0,1
1567,43-277,ANA,0,1,1,-1,4,2
1568,43-279,NYR,1,0,1,-1,2,5
1569,43-281,LAK,0,1,1,-1,0,2
1570,43-285,NYI,0,1,1,0,0,0
1571,43-287,DET,0,0,0,-1,0,1
1572,43-289,STL,0,0,0,1,0,1
1573,43-291,NSH,0,0,0,0,2,2
1574,43-292,CBJ,0,0,0,0,2,1
1575,43-294,NJD,0,2,2,1,0,1
1576,43-296,OTT,0,0,0,0,0,2
1577,43-298,WSH,1,0,1,1,0,5
1578,43-300,BOS,0,0,0,-1,0,0
1579,43-305,NJD,0,1,1,1,0,0
1580,43-306,CAR,0,0,0,1,0,1
1581,43-308,VAN,1,1,2,0,0,5
1582,43-310,OTT,0,1,1,1,0,2
1583,43-315,CBJ,0,0,0,1,0,2
1584,43-317,MTL,1,0,1,1,0,4
1585,43-321,NYR,0,0,0,0,4,0
1586,43-322,MIN,2,0,2,2,0,2
1587,43-324,BUF,1,0,1,1,2,3
1588,43-326,OTT,0,1,1,1,0,0
1589,43-329,EDM,1,0,1,2,0,2
1590,43-330,VAN,0,1,1,0,2,1
1591,43-332,CGY,0,0,0,-2,0,0
1592,43-336,TBL,0,0,0,0,2,0
1593,43-337,EDM,0,0,0,0,2,0
1594,43-341,CHI,0,0,0,1,0,2
1595,43-342,TBL,0,1,1,2,0,1
1596,43-345,TOR,0,0,0,0,0,0
1597,43-352,WSH,0,1,1,1,0,1
1598,43-354,DET,1,2,3,1,6,2
1599,43-356,PIT,0,0,0,-1,2,6
1600,43-358,DET,0,0,0,0,0,1
1601,43-359,BUF,1,0,1,3,2,4
1602,43-362,STL,0,2,2,0,0,2
1603,43-363,NSH,0,0,0,-1,0,3
1604,44-000,PIT,0,0,0,-1,0,1
1605,44-003,SJS,1,0,1,1,0,1
1606,44-005,WPG,2,0,2,2,0,3
1607,44-010,ARI,0,1,1,1,0,1
1608,44-012,CBJ,0,2,2,1,0,2
1609,44-013,MIN,0,0,0,-1,0,1
1610,44-015,WPG,1,0,1,-1,0,2
1611,44-017,COL,0,1,1,1,2,4
1612,44-019,ARI,0,0,0,0,2,0
1613,44-021,BOS,0,1,1,0,0,2
1614,44-024,OTT,2,0,2,1,0,2
1615,44-026,PHI,0,2,2,0,0,3
1616,44-028,NYI,0,0,0,0,0,1
1617,44-029,MTL,0,1,1,1,0,2
1618,44-031,TOR,1,0,1,1,2,3
1619,44-033,DET,0,0,0,-2,0,1
1620,44-035,NYR,0,0,0,-1,0,1
1621,44-038,BOS,0,1,1,1,0,1
1622,44-040,TBL,1,1,2,1,0,2
1623,44-043,TOR,0,1,1,-1,2,3
1624,44-045,NJD,0,2,2,2,0,3
1625,44-047,MTL,1,0,1,0,2,3
1626,44-049,TOR,0,0,0,1,2,0
1627,44-050,MTL,0,2,2,1,0,1
1628,44-052,OTT,1,0,1,1,0,3
1629,44-054,CAR,0,1,1,1,0,1
1630,44-241,NJD,0,0,0,1,0,7
1631,44-243,DET,0,1,1,1,0,1
1632,44-246,TBL,0,0,0,0,2,1
1633,44-248,WSH,1,0,1,0,0,3
1634,44-250,COL,0,1,1,1,0,2
1635,44-253,PIT,0,0,0,-2,2,3
1636,44-255,TOR,0,1,1,0,0,3
1637,44-257,BUF,0,0,0,0,2,4
1638,44-258,DET,0,0,0,0,0,0
1639,44-260,BOS,0,0,0,0,0,1
1640,44-262,NJD,0,1,1,0,0,0
1641,44-264,WSH,0,0,0,0,0,0
1642,44-266,TBL,0,0,0,-1,0,4
1643,44-269,SJS,0,1,1,-1,0,3
1644,44-271,NYI,0,0,0,1,2,4
1645,44-274,MTL,0,0,0,0,2,0
1646,44-276,TOR,0,0,0,-2,0,2
1647,44-278,OTT,1,2,3,3,2,4
1648,44-279,NYR,0,0,0,0,0,3
1649,44-281,PHI,0,0,0,0,0,2
1650,44-285,CBJ,1,0,1,1,0,3
1651,44-286,CAR,0,1,1,0,0,1
1652,44-288,CHI,1,0,1,-1,0,3
1653,44-290,DET,0,0,0,-1,0,2
1654,44-292,OTT,0,0,0,0,0,3
1655,44-294,BOS,1,0,1,1,2,3
1656,44-295,PHI,0,0,0,1,4,1
1657,44-297,PIT,1,0,1,-1,0,2
1658,44-299,VAN,0,1,1,2,0,5
1659,44-302,MIN,0,0,0,-1,2,1
1660,44-304,WPG,0,1,1,0,0,4
1661,44-305,COL,0,0,0,1,4,5
1662,44-309,BUF,0,3,3,0,0,3
1663,44-311,BOS,0,1,1,0,0,4
1664,44-312,DET,0,1,1,1,2,1
1665,44-317,TOR,0,0,0,0,0,0
1666,44-318,MTL,0,0,0,0,0,2
1667,44-320,DAL,1,1,2,1,4,2
1668,44-324,WPG,0,1,1,-1,0,1
1669,44-326,NSH,0,1,1,1,4,1
1670,44-327,BOS,0,0,0,-1,0,2
1671,44-329,NJD,0,0,0,0,0,1
1672,44-331,NYI,0,0,0,0,0,0
1673,44-333,NYI,0,1,1,-1,0,1
1674,44-334,CBJ,1,0,1,2,2,2
1675,44-337,CGY,0,0,0,0,0,2
1676,44-338,EDM,0,1,1,-1,0,0
1677,44-340,VAN,1,0,1,0,0,4
1678,44-343,ARI,0,0,0,0,0,2
1679,44-346,TBL,0,0,0,0,0,1
1680,44-351,OTT,0,0,0,-1,2,1
1681,44-354,ANA,0,0,0,0,2,2
1682,44-360,LAK,0,1,1,-1,2,2
1683,44-362,NSH,1,0,1,2,0,1
1684,45-000,SJS,0,1,1,2,2,1
1685,45-002,ANA,1,0,1,1,0,2
1686,45-003,LAK,0,1,1,2,0,1
1687,45-005,STL,0,0,0,0,0,2
1688,45-007,EDM,0,0,0,0,0,5
1689,45-009,CGY,0,0,0,-2,2,1
1690,45-011,OTT,0,0,0,-1,0,3
1691,45-013,CAR,1,0,1,0,0,2
1692,45-015,PHI,0,0,0,0,2,2
1693,45-017,DAL,0,0,0,0,0,1
1694,45-020,NYR,0,0,0,0,0,2
1695,45-023,MIN,1,0,1,0,0,5
1696,45-024,TBL,1,0,1,2,0,2
1697,45-027,TOR,0,0,0,1,2,1
1698,45-029,CBJ,0,0,0,0,0,3
1699,45-030,NYR,0,2,2,2,0,1
1700,45-032,PIT,0,0,0,-2,0,0
1701,45-034,CAR,0,2,2,2,0,1
1702,45-036,ARI,0,0,0,-1,0,5
1703,45-038,CHI,0,0,0,1,0,0
1704,45-040,BUF,0,0,0,1,2,2
1705,45-041,TOR,1,0,1,-2,2,4
1706,45-043,MTL,0,0,0,-3,0,4
1707,45-045,BOS,1,0,1,-3,0,2
1708,45-047,MTL,0,0,0,-1,0,2
1709,45-050,STL,0,1,1,-2,0,5
1710,45-052,BUF,0,2,2,1,2,3
1711,45-053,WSH,0,0,0,0,0,4
